year,num_buildout,capacity,investment_cost,cycles_per_year
2025,1,142.75994680875698,3134854.956440625,245.39289548018172
2030,1,401.4171445305137,5679833.990014863,194.06592220217578
2040,3,8271.857730305243,172826414.06934124,273.2049251344306
2050,4,32431.006712514867,530508939.1194818,188.5492074391722
