lower_bound,upper_bound,count,percent_of_high,percent_of_total
62.171,125.84,132,80.0,0.25510204081632654
125.84,189.507,0,0.0,0.0
189.507,253.174,0,0.0,0.0
253.174,316.841,0,0.0,0.0
316.841,380.508,0,0.0,0.0
380.508,444.175,0,0.0,0.0
444.175,507.842,0,0.0,0.0
507.842,571.509,0,0.0,0.0
571.509,635.176,0,0.0,0.0
635.176,698.843,0,0.0,0.0
698.843,762.51,0,0.0,0.0
762.51,826.177,0,0.0,0.0
826.177,889.844,0,0.0,0.0
889.844,953.512,0,0.0,0.0
953.512,1017.179,0,0.0,0.0
1017.179,1080.846,0,0.0,0.0
1080.846,1144.513,0,0.0,0.0
1144.513,1208.18,0,0.0,0.0
1208.18,1271.847,0,0.0,0.0
1271.847,1335.514,0,0.0,0.0
1335.514,1399.181,0,0.0,0.0
1399.181,1462.848,0,0.0,0.0
1462.848,1526.515,0,0.0,0.0
1526.515,1590.182,0,0.0,0.0
1590.182,1653.849,0,0.0,0.0
1653.849,1717.517,0,0.0,0.0
1717.517,1781.184,0,0.0,0.0
1781.184,1844.851,5,3.0303030303030303,0.00966295609152752
1844.851,1908.518,6,3.6363636363636362,0.011595547309833025
1908.518,1972.185,0,0.0,0.0
1972.185,2035.852,0,0.0,0.0
2035.852,2099.519,0,0.0,0.0
2099.519,2163.186,0,0.0,0.0
2163.186,2226.853,0,0.0,0.0
2226.853,2290.52,0,0.0,0.0
2290.52,2354.187,0,0.0,0.0
2354.187,2417.854,0,0.0,0.0
2417.854,2481.521,0,0.0,0.0
2481.521,2545.189,0,0.0,0.0
2545.189,2608.856,0,0.0,0.0
2608.856,2672.523,0,0.0,0.0
2672.523,2736.19,0,0.0,0.0
2736.19,2799.857,0,0.0,0.0
2799.857,2863.524,0,0.0,0.0
2863.524,2927.191,0,0.0,0.0
2927.191,2990.858,0,0.0,0.0
2990.858,3054.525,0,0.0,0.0
3054.525,3118.192,0,0.0,0.0
3118.192,3181.859,0,0.0,0.0
3181.859,3245.526,0,0.0,0.0
3245.526,3309.194,0,0.0,0.0
3309.194,3372.861,0,0.0,0.0
3372.861,3436.528,0,0.0,0.0
3436.528,3500.195,0,0.0,0.0
3500.195,3563.862,0,0.0,0.0
3563.862,3627.529,0,0.0,0.0
3627.529,3691.196,0,0.0,0.0
3691.196,3754.863,0,0.0,0.0
3754.863,3818.53,0,0.0,0.0
3818.53,3882.197,0,0.0,0.0
3882.197,3945.864,0,0.0,0.0
3945.864,4009.531,0,0.0,0.0
4009.531,4073.199,0,0.0,0.0
4073.199,4136.866,0,0.0,0.0
4136.866,4200.533,0,0.0,0.0
4200.533,4264.2,0,0.0,0.0
4264.2,4327.867,0,0.0,0.0
4327.867,4391.534,0,0.0,0.0
4391.534,4455.201,0,0.0,0.0
4455.201,4518.868,0,0.0,0.0
4518.868,4582.535,0,0.0,0.0
4582.535,4646.202,0,0.0,0.0
4646.202,4709.869,0,0.0,0.0
4709.869,4773.536,0,0.0,0.0
4773.536,4837.203,0,0.0,0.0
4837.203,4900.871,0,0.0,0.0
4900.871,4964.538,0,0.0,0.0
4964.538,5028.205,0,0.0,0.0
5028.205,5091.872,0,0.0,0.0
5091.872,5155.539,0,0.0,0.0
5155.539,5219.206,0,0.0,0.0
5219.206,5282.873,0,0.0,0.0
5282.873,5346.54,0,0.0,0.0
5346.54,5410.207,0,0.0,0.0
5410.207,5473.874,0,0.0,0.0
5473.874,5537.541,0,0.0,0.0
5537.541,5601.208,0,0.0,0.0
5601.208,5664.876,0,0.0,0.0
5664.876,5728.543,0,0.0,0.0
5728.543,5792.21,0,0.0,0.0
5792.21,5855.877,0,0.0,0.0
5855.877,5919.544,0,0.0,0.0
5919.544,5983.211,0,0.0,0.0
5983.211,6046.878,0,0.0,0.0
6046.878,6110.545,0,0.0,0.0
6110.545,6174.212,1,0.6060606060606061,0.001932591218305504
6174.212,6237.879,3,1.8181818181818181,0.0057977736549165125
6237.879,6301.546,6,3.6363636363636362,0.011595547309833025
6301.546,6365.213,9,5.454545454545454,0.017393320964749534
6365.213,6428.88,3,1.8181818181818181,0.0057977736549165125
