year,scenario,ES1 0,ES1 1,ES1 2,ES1 3,ES1 4,ES1 5,ES1 6,ES1 7,ES1 8,PT1 0,PT1 1
2025,NT,27.734384261569186,27.35029143577346,27.684077852250372,27.442181632849124,27.66583360816843,27.741552653415418,28.02234216455856,28.002226155968494,27.94838003337304,27.78196219550986,28.041120529168374
2030,NT,20.0038925151701,19.742309019065573,19.97711373011179,19.80705772502218,19.968502470775157,20.023136022780495,20.22120871763074,20.211283392879775,20.167836887284786,20.08286795594788,20.25452142754517
2040,DE,26.19545190787979,25.905117272084777,26.2075397236158,25.985128721424747,26.02501082833558,26.2691162224234,26.52776261307635,26.51543747084158,26.45774527309368,26.337978083662207,26.56182723802244
2040,GA,20.760889092807158,20.512753939418463,20.755918093748647,20.576258591811857,20.58102051588002,20.801751025195735,21.009529082627452,20.996182236542715,20.954076560599493,20.861711751577687,21.036440512400425
2040,NT,24.683339468048416,24.40731273652586,24.694009466313133,24.480962027465687,24.51000232614369,24.74905183546793,24.99573893604063,24.980573497413967,24.929765217234053,24.808690388769833,25.018434068756807
2050,DE,50.21793946013767,49.998399703361514,50.59260610827645,50.2495466558731,50.32237470615634,50.79772707781862,51.21078357492101,51.27504760803377,51.075617903520715,50.90067848267561,51.348412193418255
2050,GA,24.03050247376151,23.753868053061762,24.034044092354446,23.82545363375419,23.85141679872965,24.08690356530413,24.327709622421004,24.311687381381827,24.26349909926165,24.145815514970224,24.3503781174325
