year,DE,GA,NT,Average
2025,,,1586.9307638932391,1586.9307638932391
2030,,,226.29390473372385,226.29390473372385
2040,560.1873583130924,4.056233699489065,6.4455618408702104,190.2297179511506
2050,65.44765347048578,89.34054980336428,,77.39410163692503
