Label,Objective Value,Optimality Gap (%),Runtime (s),Build Time (s),Optimize Time (s),Total Time (s),Number of Variables,Number of Constraints,Number of Nonzeros,Number of Integer Variables,Number of Binary Variables,Number of Quadratic Constraints,Model Status
SP,25650634697.52601,,162.76088786125183,105.7662959098816,163.1975064277649,268.9638023376465,1629488,1181276,3144995,0,0,0,2
EV,25352697711.69704,,64.18924617767334,53.71505427360535,64.37912249565125,118.0941767692566,543536,675252,1736240,0,0,0,2
EEV,25930373030.15564,,2.8735790252685547,106.16433048248292,3.29373550415039,109.4580659866333,1629488,1181276,3144995,0,0,0,2
EVPI,25437755527.94376,,66.64285401503246,65.66084639231364,66.95311836401622,132.61396475632986,1267504.0,675257.3333333334,1850928.0,0.0,0.0,0.0,2.0
EVPI std,1162584744.1939025,,2.397726279475271,4.674894041229349,2.402427682007667,5.6940745361698255,280391.6007187091,2.065591117977289,44418.471400983624,0.0,0.0,0.0,0.0
