,rf025,rf050,rf100,difference,difference %
Generator Investment [EUR],8210557070.751805,8073745730.813646,8044702332.482233,-136811339.938159,-1.7
Transmission Investment [EUR],230010606.0936529,234307490.9464192,240631589.8676385,4296884.852766305,1.9
Battery Investment [EUR],711468376.6200032,806345413.1721464,882263611.8536723,94877036.55214322,13.3
CapEx [EUR],9152036053.465462,9114398634.93221,9167597534.203545,-37637418.53325081,-0.4
Production Cost [EUR],14796634431.272957,14769677056.777143,14707830275.790545,-26957374.49581337,-0.2
CO2 Cost [EUR],6480291934.332538,6467098465.781827,6462064052.663249,-13193468.550710678,-0.2
Load Shedding Cost [EUR],0.0,0.0,0.0,0.0,
Curtailment Cost [EUR],0.0,0.0,0.0,0.0,
Total OpEx [EUR],21276926365.60549,21236775522.55897,21169894328.453796,-40150843.04652023,-0.2
Total System Cost [EUR],30428962419.07096,30351174157.49118,30337491862.657333,-77788261.57978058,-0.3
