run,Generator Investment [EUR],Transmission Investment [EUR],Battery Investment [EUR],CapEx [EUR],Production Cost [EUR],CO2 Cost [EUR],Load Shedding Cost [EUR],Curtailment Cost [EUR],Total OpEx [EUR],Total System Cost [EUR]
rf025,8210557070.751805,230010606.0936529,711468376.6200032,9152036053.465462,14796634431.272957,6480291934.332538,0.0,0.0,21276926365.60549,30428962419.07096
rf050,8073745730.813646,234307490.9464192,806345413.1721464,9114398634.93221,14769677056.777143,6467098465.781827,0.0,0.0,21236775522.55897,30351174157.49118
rf100,8044702332.482233,240631589.8676385,882263611.8536723,9167597534.203545,14707830275.790545,6462064052.663249,0.0,0.0,21169894328.453796,30337491862.657333
