year,potential_capacity,new_capacity,number_possible_buildouts,number_actual_buildouts,cost_of_buildout,total_production,total_co2_emissions,total_co2_emission_cost,total_production_cost,total_production_cost_with_emission,total_cost
2025,192912.81713965908,121000.94563239448,11,7,12528359479.592455,272570297.1997183,13007531.13726376,1040602490.9811009,2152064400.281529,3192666891.26263,15721026370.855085
2030,192912.81713965908,37437.35867023352,11,3,2060063801.9881172,292141592.5018053,11666253.24014173,933300259.2113384,1957952259.9312189,2891252519.142557,4951316321.130674
2040,192912.81713965908,23540.312508004226,11,2,838083883.0113875,347344856.12349457,16283970.616799582,1302717649.3439665,2716440028.370377,4019157677.7143435,4857241560.725731
2050,192912.81713965908,0.0,11,0,0.0,369361912.9123347,18323249.707422394,1465859976.5937915,3053893994.3521895,4519753970.945981,4519753970.945981
