carrier,Marginal Cost (€/MWh),CO2 Emissions (ton/MWh),Annualized Investment Cost (€/MW),CO2 Cost (€/MWh),Total Marginal Cost (€/MWh)
CCGT,40.52039741089527,0.2,99027.72929315244,17.0,57.52039741089527
coal,28.196969696969695,0.34,349976.5536298572,28.900000000000002,57.096969696969694
offwind-ac,0.015000000000000001,0.0,184196.30676878404,0.0,0.015000000000000001
onwind,0.01499999999999999,0.0,96085.8880199663,0.0,0.01499999999999999
ror,0.0,0.0,299140.2249292296,0.0,0.0
solar,0.01,0.0,35602.07124380445,0.0,0.01
