carrier,Installed Capacity [MW],Number of Generators
CCGT,30450.332000000002,11
coal,4739.393482733913,5
offwind-ac,13734.652221833667,9
onwind,32039.503344723296,11
ror,2785.5082475,4
solar,12707.019273038666,11
