Label,Objective Value,Optimality Gap (%),Runtime (s),Build Time (s),Optimize Time (s),Total Time (s),Number of Variables,Number of Constraints,Number of Nonzeros,Number of Integer Variables,Number of Binary Variables,Number of Quadratic Constraints,Model Status
SP,461153597822.25977,,281.7722327709198,111.16216278076172,282.2816772460937,393.4438400268554,1629488,1181276,3144995,0,0,0,2
EV,460474002230.572,,105.11198210716248,56.55442833900452,105.33764266967772,161.89207100868225,543536,675252,1736240,0,0,0,2
EEV,461157974661.96326,,4.6939098834991455,110.82695126533508,5.189891576766968,116.01684284210204,1629488,1181276,3144995,0,0,0,2
EVPI,461124974135.5557,,112.52080587546031,68.99619348843892,112.87645987669627,181.8726533651352,1267504.0,675257.3333333334,1850928.0,0.0,0.0,0.0,2.0
EVPI std,15302468273.846485,,6.914027948066556,4.952308519179561,6.8928612061889565,6.630069145782682,280391.6007187091,2.0655911179772892,44418.471400983624,0.0,0.0,0.0,0.0
