,lower_bound,upper_bound,count,percent_of_interval
0,3.999,4.1,0,0.0
1,4.1,4.2,0,0.0
2,4.2,4.3,0,0.0
3,4.3,4.4,0,0.0
4,4.4,4.5,0,0.0
5,4.5,4.6,13,9.090909090909092
6,4.6,4.7,117,81.81818181818183
7,4.7,4.8,13,9.090909090909092
8,4.8,4.9,0,0.0
9,4.9,5.0,0,0.0
