year,potential_capacity,new_capacity,number_possible_buildouts,number_actual_buildouts,cost_of_buildout
2025,95000,10293.51082358287,19,3,184614977.79532215
2030,95000,352.2263499119092,19,1,4625261.575225464
2040,95000,0.0,19,0,0.0
2050,95000,0.0,19,0,0.0
