year,AIC,expected_OC,total_cost
2025,12861765297.159845,2964316143.088787,15826081440.248632
2030,1841101629.5786245,2481405645.4167433,4322507274.995368
2040,904284130.1393161,3559678237.081615,4463962367.220931
2050,0.0,4370036690.763112,4370036690.763112
