line,bus0,bus1,p_max,capital_cost,length,loss_factor
88,ES1 0,ES1 3,2189.658630928575,23102.962585711954,449.2979885607983,0.017250149248034575
89,ES1 0,ES1 6,6568.975892785725,11729.199350286328,228.10519023094668,0.008757770290357514
90,ES1 1,ES1 2,8043.643950349867,16201.400425088343,315.07892530467575,0.012097001599820245
91,ES1 1,ES1 4,7775.522485338205,22150.028029916575,430.765664943838,0.016538627370695523
92,ES1 1,ES1 5,1698.1026117405274,19884.672096365386,386.7098491348174,0.01484716776638285
93,ES1 1,ES1 7,8267.078504526251,18153.44647319924,353.04160475500277,0.013554524008213626
95,ES1 2,ES1 5,5094.3078352215825,19007.621980539243,369.65329842424285,0.01419230606456095
96,ES1 2,ES1 6,10188.615670443165,16166.893123093196,314.40783988350694,0.012071236241487742
97,ES1 2,ES1 8,15551.044970676408,12665.400427653945,246.3120872637049,0.00945679788263479
99,ES1 3,ES1 5,12646.3957663834,22834.217216811063,444.07152666292563,0.017049486769962367
100,ES1 3,ES1 7,11171.72770881926,26785.811825186647,520.9206970913481,0.02
101,ES1 3,PT1 1,6792.41044696211,23218.797046700885,451.5506949024749,0.017336638663957384
102,ES1 4,ES1 7,12154.839747195354,16089.00438169501,312.89308805408655,0.01201307952635324
103,ES1 4,PT1 0,3396.205223481055,12149.384538159147,236.27679848395297,0.009071507421503727
104,ES1 5,ES1 6,8758.6345237143,16188.02980010318,314.8188982674788,0.012087018236185479
105,ES1 5,ES1 7,25024.67006775514,12467.493384826257,242.46326328995673,0.009309027828757538
106,ES1 7,PT1 0,3172.7706693046694,13131.50358109843,255.37669136058236,0.009804820303225532
107,ES1 7,PT1 1,1698.1026117405274,22061.02537302793,429.03477374024106,0.0164721722955464
219,PT1 0,PT1 1,11707.970638842582,14480.88201608487,281.61891091997666,0.010812352532446692
