year,scenario,CCGT,coal,offwind-ac,onwind,ror,solar,Total
2025,NT,39655433.4686048,3522064.9638018915,48378848.05111737,103636211.79562178,38189904.670036055,41222036.76401498,274604499.7131969
2030,NT,47904292.63595639,4766064.487569213,52211479.221903816,109850390.26408309,38189904.670036055,41222036.76401498,294144168.04356354
2040,DE,28700367.37166783,3892426.650764375,19633322.41935228,43767569.18804418,12729968.223345352,13740678.921338327,122464332.77451235
2040,GA,21250280.04778645,2469357.350310068,18618832.03980042,40098339.256134234,12729968.223345352,13740678.921338327,108907455.83871487
2040,NT,27023755.66642686,3576896.8335542083,19569240.60277038,42925318.52081992,12729968.223345352,13740678.921338327,119565858.76825505
2050,DE,51576892.84171641,7724038.13656777,30444816.014199097,68812806.7992402,19094952.335018028,20611018.38200749,198264524.508749
2050,GA,38237538.2213381,4855956.69639795,29131234.465644147,63863321.04827791,19094952.335018028,20611018.38200749,175794021.14868364
