dual,total_duals,nonzero_duals,percent_nonzero
battery_charge_new_max_duals,103488,1345,1.2996675943104514
battery_charge_old_duals,0,0,0.0
battery_discharge_new_max_duals,103488,2528,2.442795299938157
battery_discharge_old_duals,0,0,0.0
branch_extension_duals,76,1,1.3157894736842104
branch_flow_new_duals_max,178752,20439,11.434277658431794
branch_flow_new_duals_min,178752,68566,38.35817221625492
branch_flow_old_duals_max,178752,20420,11.423648406731113
branch_flow_old_duals_min,178752,68545,38.34642409595418
emissions_duals,7,0,0.0
gen_extension_duals,204,35,17.15686274509804
gen_output_new_duals,479808,294636,61.407062825130055
gen_output_old_duals,479808,294558,61.39080632252901
load_shedding_duals,103488,0,0.0
power_balance_duals,103488,103488,100.0
