year,potential_capacity,new_capacity,number_possible_buildouts,number_actual_buildouts,cost_of_buildout
2025,5000,0.0,1,0,0.0
2030,5000,0.0,1,0,0.0
2040,5000,0.0,1,0,0.0
2050,5000,0.0,1,0,0.0
