,ef025,ef050,ef100,difference,difference %
Generator Investment [EUR],6173105816.446784,9272113357.96764,11049199136.777214,3099007541.520856,50.2
Transmission Investment [EUR],510502225.8361742,395679448.3726717,252023122.83495605,-114822777.46350247,-22.5
Battery Investment [EUR],574163979.0332619,804927192.9191997,907028310.3536036,230763213.8859378,40.2
CapEx [EUR],7257772021.31622,10472719999.25951,12208250569.965773,3214947977.9432898,44.3
Production Cost [EUR],24902284018.093235,18439923006.405155,14335478253.00087,-6462361011.68808,-26.0
CO2 Cost [EUR],11035379763.532026,8201198643.559214,6438220669.654991,-2834181119.9728127,-25.7
Load Shedding Cost [EUR],62712423.199133545,0.0,0.0,-62712423.199133545,-100.0
Curtailment Cost [EUR],0.0,0.0,0.0,0.0,
Total OpEx [EUR],36000376204.824394,26641121649.96437,20773698922.65586,-9359254554.860023,-26.0
Total System Cost [EUR],43258148226.14062,37113841649.22388,32981949492.621635,-6144306576.91674,-14.2
