year,scenario,Invest Gen,Invest Bat,Invest Tx,Production Cost,CO2 Emission Cost,Load Shedding Cost,Curtailment Cost,Prod+CO2 Cost,Total CapEx,Total OpEx,Total Cost
2025,NT,13793418691.990412,,1450296350.0211043,2802739.9678510944,0.0,188819271852.4519,0.0,2802739.9678510944,15243715042.011517,188822074592.41977,204065789634.43127
2030,NT,13793418691.990412,,1161141970.9017344,2779665.4616970853,0.0,82068266766.33694,0.0,2779665.4616970853,14954560662.892147,82071046431.79865,97025607094.6908
2040,DE,13793418691.990412,,968208397.4332414,3310956.7074149163,0.0,83888399783.2596,0.0,3310956.7074149163,14761627089.423653,83891710739.96701,98653337829.39066
2040,GA,13793418691.990412,,968208397.4332414,2803795.2125870395,0.0,61181265106.56546,0.0,2803795.2125870395,14761627089.423653,61184068901.778046,75945695991.20169
2040,NT,13793418691.990412,,968208397.4332414,3202323.986653106,0.0,78689135225.03954,0.0,3202323.986653106,14761627089.423653,78692337549.02618,93453964638.44983
2050,DE,12603416422.18315,,717920225.5538495,3309202.399061917,0.0,67411898904.1267,0.0,3309202.399061917,13321336647.737,67415208106.525764,80736544754.26276
2050,GA,12603416422.18315,,717920225.5538495,2754335.4425245635,0.0,47361767476.138565,0.0,2754335.4425245635,13321336647.737,47364521811.58109,60685858459.31809
All,All,53983672498.15439,0.0,4297566943.909929,11719866.319226442,0.0,402860638513.87634,0.0,11719866.319226442,58281239442.064316,402872358380.19556,461153597822.2599
