lower_bound,upper_bound,count,percent_of_interval
26.999,27.1,42,1.054746358613762
27.1,27.2,254,6.378704168759418
27.2,27.3,61,1.5318935208437972
27.3,27.4,385,9.668508287292818
27.4,27.5,526,13.209442491210446
27.5,27.6,241,6.052235057759919
27.6,27.7,670,16.825715720743347
27.7,27.8,634,15.921647413360121
27.8,27.9,369,9.266700150678052
27.9,28.0,800,20.09040683073832
