year,CCGT,coal,offwind-ac,onwind,ror,solar,Total
2025,2156359901.8772297,0.0,707263.9244291938,1474297.3754867422,0.0,515942.4844590288,2159057405.661605
2030,1536070712.057178,0.0,694423.1845695816,1506424.562844872,0.0,788888.7617685898,1539060448.566361
2040,2110649326.7065806,74854529.44774897,766200.6766400174,1887099.614132964,0.0,938067.2609069212,2189095223.7060094
2050,2476525172.113846,51808075.394142404,817592.8821149047,2047215.629940513,0.0,964952.6502566324,2532163008.6703005
