run,Generator Investment [EUR],Transmission Investment [EUR],Battery Investment [EUR],CapEx [EUR],Production Cost [EUR],CO2 Cost [EUR],Load Shedding Cost [EUR],Curtailment Cost [EUR],Total OpEx [EUR],Total System Cost [EUR]
rf004,13037155859.556156,296134922.445858,32107858.64433554,13365398640.646349,16749814266.794268,7439370948.103845,0.0,2152754.325839553,24191337969.223957,37556736609.8703
rd008,12403182197.149376,262367446.35284668,18983121.54175435,12684532765.043976,14011106998.950748,6335382308.480949,0.0,0.0,20346489307.431698,33031022072.475677
rd012,12024000178.312876,246267911.05032453,71011334.26966614,12341279423.632868,12870142639.4354,5865141930.921026,0.0,0.0,18735284570.356422,31076563993.989296
