,rf004,rd008,rd012,difference,difference %
Generator Investment [EUR],13037155859.556156,12403182197.149376,12024000178.312876,-633973662.4067802,-4.9
Transmission Investment [EUR],296134922.445858,262367446.35284668,246267911.05032453,-33767476.09301132,-11.4
Battery Investment [EUR],32107858.64433554,18983121.54175435,71011334.26966614,-13124737.102581188,-40.9
CapEx [EUR],13365398640.646349,12684532765.043976,12341279423.632868,-680865875.6023731,-5.1
Production Cost [EUR],16749814266.794268,14011106998.950748,12870142639.4354,-2738707267.843519,-16.4
CO2 Cost [EUR],7439370948.103845,6335382308.480949,5865141930.921026,-1103988639.6228952,-14.8
Load Shedding Cost [EUR],0.0,0.0,0.0,0.0,
Curtailment Cost [EUR],2152754.325839553,0.0,0.0,-2152754.325839553,-100.0
Total OpEx [EUR],24191337969.223957,20346489307.431698,18735284570.356422,-3844848661.792259,-15.9
Total System Cost [EUR],37556736609.8703,33031022072.475677,31076563993.989296,-4525714537.394623,-12.1
