year,num_buildout,capacity,investment_cost,cycles_per_year
2025,0,0.0,0.0,
2030,0,0.0,0.0,
2040,2,14534.05902330926,319152311.1693035,323.34372257766415
2050,2,47149.41512106515,716198156.4485582,206.34674751230187
