year,potential_capacity,new_capacity,number_possible_buildouts,number_actual_buildouts,cost_of_buildout
2025,95000,19312.487256718574,19,6,330827242.80053824
2030,95000,12974.266194779811,19,3,215928349.29149407
2040,95000,0.0,19,0,0.0
2050,95000,0.0,19,0,0.0
