Label,Objective Value,Optimality Gap (%),Runtime (s),Build Time (s),Optimize Time (s),Total Time (s),Number of Variables,Number of Constraints,Number of Nonzeros,Number of Integer Variables,Number of Binary Variables,Number of Quadratic Constraints,Model Status
SP,22338017090.09663,,1765.8613271713257,136.21210193634033,1766.517538547516,1902.729640483856,1895688,1440348,3869565,0,0,0,2
EV,22031439438.82339,,272.41458201408386,70.80152249336243,272.6733522415161,343.47487473487854,632328,823312,2150346,0,0,0,2
EEV,24024821240.01758,,5.155016899108887,134.0354950428009,5.714974880218506,139.7504699230194,1895688,1440348,3869565,0,0,0,2
EVPI,22126174926.390118,,279.11595237255096,83.0457832813263,279.5123821894328,362.5581654707591,1474568.0,823317.3333333334,2265034.0,0.0,0.0,0.0,2.0
EVPI std,972725419.5772389,,61.86099872007664,4.8858580928641,61.84526309909311,60.4760693277848,326198.1493509735,2.0655911179772892,44418.471400983624,0.0,0.0,0.0,0.0
