generator,week,value
ES1 0 CCGT,1,3425.3
ES1 0 CCGT,2,3425.3
ES1 0 CCGT,3,3425.3
ES1 0 CCGT,4,3425.3
ES1 0 CCGT,5,3425.3
ES1 0 CCGT,6,3425.3
ES1 0 CCGT,7,3425.3
ES1 0 CCGT,8,3425.3
ES1 0 CCGT,9,3425.3
ES1 0 CCGT,10,3425.3
ES1 0 CCGT,11,3425.3
ES1 0 CCGT,12,3425.3
ES1 0 CCGT,13,3425.3
ES1 0 CCGT,14,3425.3
ES1 0 CCGT,15,3425.3
ES1 0 CCGT,16,3425.3
ES1 0 CCGT,17,3425.3
ES1 0 CCGT,18,3425.3
ES1 0 CCGT,19,3425.3
ES1 0 CCGT,20,3425.3
ES1 0 CCGT,21,3425.3
ES1 0 CCGT,22,3425.3
ES1 0 CCGT,23,3425.3
ES1 0 CCGT,24,3425.3
ES1 0 CCGT,25,3425.3
ES1 0 CCGT,26,3425.3
ES1 0 CCGT,27,3425.3
ES1 0 CCGT,28,3425.3
ES1 0 CCGT,29,3425.3
ES1 0 CCGT,30,3425.3
ES1 0 CCGT,31,3425.3
ES1 0 CCGT,32,3425.3
ES1 0 CCGT,33,3425.3
ES1 0 CCGT,34,3425.3
ES1 0 CCGT,35,3425.3
ES1 0 CCGT,36,3425.3
ES1 0 CCGT,37,3425.3
ES1 0 CCGT,38,3425.3
ES1 0 CCGT,39,3425.3
ES1 0 CCGT,40,3425.3
ES1 0 CCGT,41,3425.3
ES1 0 CCGT,42,3425.3
ES1 0 CCGT,43,3425.3
ES1 0 CCGT,44,3425.3
ES1 0 CCGT,45,3425.3
ES1 0 CCGT,46,3425.3
ES1 0 CCGT,47,3425.3
ES1 0 CCGT,48,3425.3
ES1 0 CCGT,49,3425.3
ES1 0 CCGT,50,3425.3
ES1 0 CCGT,51,3425.3
ES1 0 CCGT,52,3425.3
ES1 0 CCGT,53,3425.3
ES1 0 coal,1,1068.524932656719
ES1 0 coal,2,1068.524932656719
ES1 0 coal,3,1068.524932656719
ES1 0 coal,4,1068.524932656719
ES1 0 coal,5,1068.524932656719
ES1 0 coal,6,1068.524932656719
ES1 0 coal,7,1068.524932656719
ES1 0 coal,8,1068.524932656719
ES1 0 coal,9,1068.524932656719
ES1 0 coal,10,1068.524932656719
ES1 0 coal,11,1068.524932656719
ES1 0 coal,12,1068.524932656719
ES1 0 coal,13,1068.524932656719
ES1 0 coal,14,1068.524932656719
ES1 0 coal,15,0.0
ES1 0 coal,16,1068.524932656719
ES1 0 coal,17,1068.524932656719
ES1 0 coal,18,1068.524932656719
ES1 0 coal,19,1068.524932656719
ES1 0 coal,20,1068.524932656719
ES1 0 coal,21,1068.524932656719
ES1 0 coal,22,1068.524932656719
ES1 0 coal,23,1068.524932656719
ES1 0 coal,24,1068.524932656719
ES1 0 coal,25,1068.524932656719
ES1 0 coal,26,1068.524932656719
ES1 0 coal,27,1068.524932656719
ES1 0 coal,28,1068.524932656719
ES1 0 coal,29,1068.524932656719
ES1 0 coal,30,1068.524932656719
