branch,value
88 new,0.0
89 new,0.0
90 new,0.0
91 new,0.0
92 new,0.0
93 new,0.0
95 new,0.0
96 new,0.0
97 new,0.0
99 new,0.0
100 new,0.0
101 new,0.0
102 new,0.0
103 new,0.0
104 new,0.0
105 new,0.0
106 new,0.0
107 new,0.0
219 new,0.0
