year,DE,GA,NT,Average
2025,,,46.25675538986118,46.25675538986118
2030,,,39.08854899966827,39.08854899966827
2040,49.81963290941043,37.69075970757988,41.09008144726932,42.866824688086545
2050,57.37887780632452,37.78446496630761,,47.58167138631606
