Label,Objective Value,Optimality Gap (%),Runtime (s),Build Time (s),Optimize Time (s),Total Time (s),Number of Variables,Number of Constraints,Number of Nonzeros,Number of Integer Variables,Number of Binary Variables,Number of Quadratic Constraints,Model Status
SP,22904475405.43811,,1321.991380929947,133.38839292526245,1322.5791018009186,1455.967494726181,1895688,1440348,3869565,0,0,0,2
EV,22623393483.30872,,368.38255405426025,69.28192281723022,368.6083567142487,437.8902795314789,632328,823312,2150346,0,0,0,2
EEV,26191985995.51171,,4.723623037338257,133.1301155090332,5.278563499450684,138.4086790084839,1895688,1440348,3869565,0,0,0,2
EVPI,22751518562.23868,,504.777095357577,81.73893165588379,505.16658620039624,586.90551785628,1474568.0,823317.3333333334,2265034.0,0.0,0.0,0.0,2.0
EVPI std,818211938.7805085,,216.23363057108372,4.691958044022938,216.21932983953397,214.37458345115516,326198.1493509735,2.065591117977289,44418.471400983624,0.0,0.0,0.0,0.0
