year,potential_capacity,new_capacity,number_possible_buildouts,number_actual_buildouts,cost_of_buildout
2025,95000,8234.12185620621,19,2,140375314.1470575
2030,95000,0.0,19,0,0.0
2040,95000,0.0,19,0,0.0
2050,95000,0.0,19,0,0.0
