snapshot,ES1 0,ES1 1,ES1 2,ES1 3,ES1 4,ES1 5,ES1 6,ES1 7,ES1 8,PT1 0,PT1 1
2013-01-01 00:00:00,1540.4971869334968,3541.7981511904864,1849.1096945718346,2953.965919139923,2331.8730435076673,3518.5756772044288,2092.739519508029,1871.9963652965573,2787.386471638532,2275.245734786659,2474.754265213341
2013-01-01 01:00:00,1433.7473165757826,3296.3666783648896,1720.9742965672049,2749.2687073670163,2170.284208944065,3274.7534225639893,1947.7216160059493,1742.2750188374246,2594.232503550757,2182.7989080890115,2374.2010919109885
2013-01-01 02:00:00,1335.0439188580972,3069.435065300017,1602.4973456483515,2560.0009336674443,2020.8754372872665,3049.309729831121,1813.6347102552825,1622.3316633174222,2415.637879791206,2041.4941729812085,2220.5058270187915
2013-01-01 03:00:00,1273.0190255912091,2926.8319796444407,1528.0468160288274,2441.065681852156,1926.9874523806507,2907.641648460263,1729.3749359214735,1546.9596498282904,2303.4096005944775,1916.9544064455176,2085.0455935544824
2013-01-01 04:00:00,1250.287740383128,2874.569875820397,1500.76170301151,2397.4775192949855,1892.5787746689286,2855.722211071375,1698.4948672737316,1519.3368254252464,2262.2794528672443,1845.1045411364653,2006.8954588635347
2013-01-01 05:00:00,1250.5559561377956,2875.1865378124216,1501.0836512477024,2397.9918338974303,1892.9847767658223,2856.3348298016276,1698.8592338654455,1519.6627584565506,2262.7647643448518,1798.162629134551,1955.837370865449
2013-01-01 06:00:00,1263.3632584231748,2904.632147931573,1516.456679525896,2422.5503561641544,1912.3713768924856,2885.587374171178,1716.257738619778,1535.2260607013336,2285.9383874006085,1783.7926560727406,1940.2073439272594
2013-01-01 07:00:00,1245.8621804311122,2864.3949529519996,1495.449557114333,2388.9913283546516,1885.8797400701865,2845.6140020222115,1692.4828185104545,1513.9589304087244,2254.271813486721,1665.9588769658947,1812.0411230341053
2013-01-01 08:00:00,1258.0659972684891,2892.4530735890967,1510.0982018610935,2412.3926427658757,1904.3528354788396,2873.4881542486937,1709.061498433431,1528.7888833330726,2276.353485717861,1711.9427907636882,1862.0572092363118
2013-01-01 09:00:00,1365.75462276754,3140.0428633867773,1639.360418692397,2618.889955647338,2067.362677381569,3119.454574445016,1855.354685006509,1659.6509954017708,2471.206043977262,1868.096498035362,2031.903501964638
2013-01-01 10:00:00,1480.8191815199507,3404.5908579651214,1777.476212018995,2839.530920096024,2241.5375769488696,3382.2680097232787,2011.6679528517157,1799.4762658313387,2679.4046678708687,2062.0911343698035,2242.9088656301965
2013-01-01 11:00:00,1542.5088050935042,3546.423116130667,1851.5243063432786,2957.823278658256,2334.9180592343687,3523.170317681321,2095.472268945882,1874.44086303134,2791.026307720588,2236.4468075197706,2432.5531924802294
2013-01-01 12:00:00,1589.1112924670038,3653.5681372448566,1907.462812381732,3047.1854408329864,2405.46092356961,3629.612822062669,2158.7809642561497,1931.0717272204715,2875.349176954887,2264.2287554392706,2462.7712445607294
2013-01-01 13:00:00,1584.4845706989872,3642.9307178824406,1901.9092053074105,3038.313513940819,2398.457387398197,3619.0451489658158,2152.495640549087,1925.4493824304716,2866.9775539661578,2122.4450212294073,2308.5549787705927
2013-01-01 14:00:00,1499.124906776016,3446.678038920767,1799.4491791391358,2874.6328917128603,2269.247220061849,3424.079238063002,2036.5359727361804,1821.721195217861,2712.527176217579,2071.19211730895,2252.80788269105
2013-01-01 15:00:00,1469.218850130576,3377.9202268100785,1763.551950803668,2817.2868135403,2223.977986258227,3355.772249639864,1995.9090977600952,1785.3796622274253,2658.4149464643456,2059.217139757441,2239.782860242559
2013-01-01 16:00:00,1507.1043254773776,3465.0237331834846,1809.027139165864,2889.933751135584,2281.32578244443,3442.30464528801,2047.3758788396651,1831.4177028991653,2726.9651926764013,2097.537067922269,2281.462932077731
2013-01-01 17:00:00,1695.3247313153827,3897.7662860864048,2034.9543139139764,3250.8540234010043,2566.237753939425,3872.2098392426033,2303.070134574802,2060.141207616996,3067.532522087447,2520.972274143618,2742.027725856382
2013-01-01 18:00:00,1788.1944363690475,4111.285500824753,2146.428890695642,3428.9354544974085,2706.815979988791,4084.329074592483,2429.2320669556943,2172.9955197061286,3235.571621209035,2680.4789751297144,2915.5210248702856
2013-01-01 19:00:00,1850.9569229612714,4255.584406958395,2221.764777964696,3549.2850714694187,2801.8204706618635,4227.681857471535,2514.4938494167163,2249.263849031347,3349.1345069691843,2715.44590958012,2953.55409041988
2013-01-01 20:00:00,1880.3936020360431,4323.263060583042,2257.0985968868267,3605.7310990877013,2846.3792007959223,4294.916763116732,2554.483082857302,2285.034999217,3402.3974416366045,2750.8918431325856,2992.1081568674144
2013-01-01 21:00:00,1530.9084737041294,3519.752484975624,1837.6000451279515,2935.5791721025325,2317.358468543726,3496.6745575979066,2079.713413854262,1860.3442594274268,2770.0365863140646,2694.369949089464,2930.630050910536
2013-01-01 22:00:00,1683.053860539339,3869.5539999513016,2020.225182108168,3227.3241303391687,2547.663158006549,3844.182532333558,2286.400363003897,2045.2297714348215,3045.3295219869046,2593.3011385547306,2820.6988614452694
2013-01-01 23:00:00,1503.4834127893648,3456.698796291159,1804.6808379772644,2882.9905040025833,2275.844754136368,3434.034292429603,2042.4569298515291,1827.0176069765564,2720.4134877287006,2348.5325974018924,2554.4674025981076
2013-01-02 00:00:00,1356.9705568021755,3119.847183147988,1628.8166139570915,2602.046152417281,2054.066108708308,3099.3913110292515,1843.4216791278832,1648.9766886265531,2455.312093085617,2172.260927843684,2362.7390721563165
2013-01-02 01:00:00,1268.6605195778602,2916.8112222740488,1522.8151571906988,2432.708069562433,1920.3899183061317,2897.686594093662,1723.4539788061247,1541.6632380695946,2295.5232890833563,2021.855209796734,2199.144790203266
2013-01-02 02:00:00,1224.2708121803685,2814.7536625940584,1469.5327241008338,2347.58900285787,1853.1965712702618,2796.2981942368965,1663.1513078774963,1487.721321388724,2215.204239539319,1927.4923866908453,2096.5076133091547
2013-01-02 03:00:00,1221.5216006950254,2808.4328771758114,1466.2327546798604,2342.3172781828143,1849.0350497771037,2790.0188522518097,1659.41655031243,1484.3805078178543,2210.2297968938424,1900.6684369754657,2067.3315630245343
2013-01-02 04:00:00,1270.6050837992007,2921.282021716224,1525.1492819030946,2436.4368504301556,1923.3334335086095,2902.1280798879916,1726.0956365960496,1544.0262525465512,2299.0417972960104,1903.0634324857674,2069.9365675142326
2013-01-02 05:00:00,1440.5868183198072,3312.091559161505,1729.1839765901148,2762.3837297293508,2180.6372624148485,3290.3752001854245,1957.0129640946504,1750.5863111356855,2606.6079462297475,1931.324379507328,2100.675620492672
2013-01-02 06:00:00,1693.64838284871,3893.912148636254,2032.942137437773,3247.639557135726,2563.7002408338412,3868.380972178526,2300.792843376591,2058.1041261713435,3064.4993253524003,2125.3190158417697,2311.6809841582303
2013-01-02 07:00:00,1918.4131852601788,4410.67489795246,2302.734759367119,3678.635193984208,2903.9299980305723,4381.7554681300035,2606.132047232729,2331.2360064043924,3471.190343587464,2324.582642298875,2528.417357701125
2013-01-02 08:00:00,2099.7940893541595,4827.692570058765,2520.4522540923217,4026.4404438872934,3178.488916054784,4796.038884463162,2852.534954879165,2551.6482188239615,3799.382230319519,2744.185855703741,2984.814144296259
2013-01-02 09:00:00,2203.8618021651973,5066.957422964121,2645.368169735026,4225.994509635755,3336.0177296494517,5033.734951801078,2993.909192464107,2678.110234970051,3987.6830836312192,3017.2153438781397,3281.7846561218603
2013-01-02 10:00:00,2224.4473613359373,5114.286230851972,2670.0776968628034,4265.46815537337,3367.178390586026,5080.753439347946,3021.8743283781387,2703.1255951226603,4024.930739537593,3116.368158004632,3389.6318419953677
2013-01-02 11:00:00,2207.0803912212086,5074.35736686841,2649.2315485693366,4232.166284865089,3340.8897548121736,5041.086376564106,2998.2815915646725,2682.021431345703,3993.506821362509,3166.1840646189085,3443.8159353810915
2013-01-02 12:00:00,2176.7049570051004,5004.52039627168,2612.7709108205318,4173.920156138251,3294.9100173389875,4971.7073053630265,2957.017075053088,2645.109515550485,3938.545296523462,3066.5522513903557,3335.4477486096443
2013-01-02 13:00:00,2136.606701682291,4912.329428464075,2564.6396495097474,4097.0301230728,3234.212703853413,4880.120805190299,2902.5442695918796,2596.3825273704842,3865.991230621145,3044.5182926955795,3311.4817073044205
2013-01-02 14:00:00,2082.024795607429,4786.838713087168,2499.123183444566,3992.3671014753463,3151.5912771355916,4755.4528935839435,2828.395668178128,2530.0551555000484,3767.230344928024,3050.2662819203038,3317.7337180796962
2013-01-02 15:00:00,2069.284547260717,4757.547268466023,2483.830642225421,3967.937157859233,3132.306177533151,4726.353503896956,2811.088255071724,2514.5733365130914,3744.178049741669,3015.2993474698983,3279.7006525301017
2013-01-02 16:00:00,2122.257158807573,4879.338011890785,2547.415418873447,4069.5142918420197,3212.4915916696123,4847.345703121797,2883.050656935193,2578.9451101957015,3840.027066569145,3056.4932702470883,3324.5067297529117
2013-01-02 17:00:00,2290.6295988001734,5266.447577383921,2749.5184241433117,4392.375283526548,3467.3594079944905,5231.9171110377165,3111.781784883511,2783.5495705970097,4144.681346637238,3438.734553691247,3740.265446308753
2013-01-02 18:00:00,2327.7774808216395,5351.855263279261,2794.108254855978,4463.60785596511,3523.5906984142366,5316.764805177668,3162.246557835868,2828.6912954326626,4211.896986285873,3562.316322022817,3874.683677977183
2013-01-02 19:00:00,2316.914742757601,5326.880452602284,2781.0693512901803,4442.778114566107,3507.1476134900513,5291.953746602447,3147.4897108714604,2815.491007664836,4192.2418714427695,3577.165294186688,3890.834705813312
2013-01-02 20:00:00,2293.110594530849,5272.151700810144,2752.4964453280927,4397.132693599159,3471.1149273907554,5237.58383429255,3115.1521758568633,2786.564451136575,4149.170477805106,3470.82749352929,3775.17250647071
2013-01-02 21:00:00,2172.681720685086,4995.270466391318,2607.9416872776437,4166.205437101584,3288.8199858855855,4962.518024409241,2951.5515761773813,2640.22052008092,3931.2656243593506,3330.480756625608,3622.519243374392
2013-01-02 22:00:00,1973.3303610283747,4536.936440819397,2368.6536607275407,3783.941108834717,2987.058927369511,4507.189153149175,2680.7361068861233,2397.970794563959,3570.557868627595,3088.1072109830716,3358.8927890169284
2013-01-02 23:00:00,1763.518586939626,4054.552597558535,2116.8096529659288,3381.6185110725155,2669.463787074591,4027.968151409266,2395.710340518028,2143.009680826128,3190.9229652691474,2732.6898772542922,2972.3101227457078
2013-01-03 00:00:00,1592.531043339016,3661.4305776431643,1911.5676523931868,3053.7429520141536,2410.6374503050015,3637.4237108733864,2163.4266383005,1935.227373369602,2881.5368982943824,2480.2573504684883,2697.7426495315117
2013-01-03 01:00:00,1491.7489735226563,3429.719834140104,1790.595602643841,2860.489240145637,2258.082162397279,3407.232222981062,2026.5158914640517,1812.758036856991,2699.1811105833735,2276.68273209284,2476.31726790716
2013-01-03 02:00:00,1438.9104698531344,3308.237421711354,1727.1718001139113,2759.1692634640726,2178.099749309264,3286.5463331213473,1954.7356728964394,1748.5492296900334,2603.574749494701,2176.0929206601663,2366.9070793398337
2013-01-03 03:00:00,1430.8639972131057,3289.7375619506306,1717.5133530281353,2743.739825390738,2165.9196864024602,3268.1677712137766,1943.8046751450263,1738.7712387509027,2589.0154051664767,2141.6049853118216,2329.3950146881784
2013-01-03 04:00:00,1458.1549502505363,3352.4829196390842,1750.271586060726,2796.0713361894645,2207.230399761371,3330.501727016954,1980.8789758519022,1771.9349246861207,2638.3958480130373,2132.5040023726747,2319.4959976273253
2013-01-03 05:00:00,1592.7992590936835,3662.047239635188,1911.8896006293792,3054.257266616598,2411.0434524018947,3638.036329603639,2163.791004892214,1935.5533064009064,2882.0222097719898,2198.1268793549425,2390.8731206450575
2013-01-03 06:00:00,1828.8961771398594,4204.8639581144125,2195.2845355378595,3506.9826954183595,2768.4267981923754,4177.293966908279,2484.5246972482587,2222.455857206564,3309.2176379359694,2390.684518383203,2600.315481616797
2013-01-03 07:00:00,2037.970357903272,4685.551980897208,2446.243185649942,3907.890928023839,3084.9054327208382,4654.830267139993,2768.5484554891414,2476.520655108308,3687.517934730996,2659.882013741119,2893.1179862588806
2013-01-03 08:00:00,2210.7013039092217,5082.6823037607355,2653.577849757936,4239.10953199809,3346.3707831202355,5049.356729422513,3003.200540552808,2686.421527268312,4000.05852631021,3060.8042621656314,3329.1957378343686
2013-01-03 09:00:00,2287.276901866828,5258.73930248362,2745.494071190905,4385.946350995991,3462.2843817833223,5224.259376909561,3107.227202487089,2779.475407705705,4138.6149531671435,3223.6639568661503,3506.3360431338497
2013-01-03 10:00:00,2282.8513419148126,5248.564379615222,2740.181925293728,4377.460160055657,3455.58534718458,5214.151167860397,3101.215153723812,2774.097512689183,4130.607313786621,3245.218916458866,3529.781083541134
2013-01-03 11:00:00,2240.2720908613273,5150.669288381394,2689.072642798163,4295.812716917595,3391.132514302741,5116.897944432835,3043.371957289251,2722.355643969617,4053.564116716434,3278.26985450103,3565.7301454989697
2013-01-03 12:00:00,2228.0012200852834,5122.457002246291,2674.3435109923544,4272.2828238557595,3372.5579183698646,5088.87063752379,3026.7021857183463,2707.444207787443,4031.361116615892,3124.9901418417185,3399.0098581582815
2013-01-03 13:00:00,2146.0613070343243,4934.066763682925,2575.9883248355345,4115.159712808968,3248.524277768908,4901.7156154316945,2915.38819194979,2607.871666723963,3883.0984602068083,3133.1331265767444,3407.8668734232556
2013-01-03 14:00:00,2101.2022220661643,4830.930045516892,2522.1424823323327,4029.1405955501273,3180.620427063475,4799.255132796987,2854.4478794856623,2553.3593672383095,3801.930115576958,3117.805155310813,3391.194844689187
2013-01-03 15:00:00,2090.808861572794,4807.034393325957,2509.6669881798716,4009.210904705403,3164.8878458088525,4775.516156999708,2840.3286740567537,2540.7294622752656,3783.1242958196685,3070.3842442068385,3339.6157557931615
2013-01-03 16:00:00,2140.026452554303,4920.191868862383,2568.7444895212025,4103.587634253967,3239.3892305888053,4887.931694001016,2907.18994363623,2600.5381735196147,3872.17895196064,3098.166192126339,3369.833807873661
