year,carrier,potential_capacity,new_capacity,number_possible_buildouts,number_actual_buildouts,cost_of_buildout,total_production,total_co2_emissions,total_production_cost,total_co2_emission_cost,total_production_cost_with_emission,total_cost
2025,CCGT,60900.664000000004,4464.906949429526,11,1,442149596.7072222,46128807.68186401,9225761.536372803,1795230846.2459903,784189730.5916882,2579420576.8376784,3021570173.544901
2025,coal,9478.786965467825,0.0,5,0,0.0,1332259.0652254806,452968.08217666345,37565668.490676045,38502286.98501639,76067955.47569244,76067955.47569244
2025,offwind-ac,27469.304443667334,5750.206760447316,9,2,1056530739.6118048,35822649.12982196,0.0,537339.7369473295,0.0,537339.7369473295,1057068079.3487521
2025,onwind,64079.00668944659,36066.05257717692,11,6,3465438689.2528386,103079693.99574164,0.0,1546195.4099361226,0.0,1546195.4099361226,3466984884.6627746
2025,ror,5571.016495,5277.0,4,2,1578562966.9515445,37397835.33564296,0.0,0.0,0.0,0.0,1578562966.9515445
2025,solar,25414.038546077332,25414.038546077332,11,11,904792410.9102377,51524038.56528252,0.0,515240.38565282524,0.0,515240.38565282524,905307651.2958905
2030,CCGT,60900.664000000004,0.0,11,0,0.0,31572180.220976654,6314436.044195332,1229740447.9854574,536727063.7566031,1766467511.7420607,1766467511.7420607
2030,coal,9478.786965467825,0.0,5,0,0.0,1424319.7053367337,484268.6998144895,40161499.57017669,41162839.484231606,81324339.0544083,81324339.0544083
2030,offwind-ac,27469.304443667334,3638.1836979588734,9,1,669562313.0876268,36512916.78948408,0.0,547693.7518422612,0.0,547693.7518422612,670110006.8394691
2030,onwind,64079.00668944659,16021.999254519476,11,2,1539488026.2257419,108638126.68131995,0.0,1629571.9002197967,0.0,1629571.9002197967,1541117598.1259615
2030,ror,5571.016495,426.07028840335056,4,1,127454761.90863998,39386359.81502452,0.0,0.0,0.0,0.0,127454761.90863998
2030,solar,25414.038546077332,22200.552327022655,11,10,790385645.5984693,77881482.36184292,0.0,778814.8236184291,0.0,778814.8236184291,791164460.4220877
2040,CCGT,60900.664000000004,0.0,11,0,0.0,45048831.11635971,9009766.223271944,1762052306.3925335,765830128.9781151,2527882435.3706484,2527882435.3706484
2040,coal,9478.786965467825,0.0,5,0,0.0,2713651.0835183673,922641.368396245,76516737.37011638,78424516.31368083,154941253.6837972,154941253.6837972
2040,offwind-ac,27469.304443667334,0.0,9,0,0.0,41979468.00325463,0.0,629692.0200488194,0.0,629692.0200488194,629692.0200488194
2040,onwind,64079.00668944659,7666.034391617716,11,1,736597722.1101904,138862655.87916034,0.0,2082939.8381874007,0.0,2082939.8381874007,738680661.9483778
2040,ror,5571.016495,0.0,4,0,0.0,39386359.81502452,0.0,0.0,0.0,0.0,0.0
2040,solar,25414.038546077332,2019.0010666100911,11,1,71880619.81476963,84265330.01908937,0.0,842653.3001908937,0.0,842653.3001908937,72723273.11496052
2050,CCGT,60900.664000000004,0.0,11,0,0.0,51391022.485007375,10278204.497001477,2011039682.818582,873647382.2451254,2884687065.0637074,2884687065.0637074
2050,coal,9478.786965467825,0.0,5,0,0.0,3281600.1563264574,1115744.0531509956,92531180.16550814,94838244.51783463,187369424.68334275,187369424.68334275
2050,offwind-ac,27469.304443667334,0.0,9,0,0.0,44686824.40590226,0.0,670302.3660885339,0.0,670302.3660885339,670302.3660885339
2050,onwind,64079.00668944659,0.0,11,0,0.0,151059540.09549978,0.0,2265893.101432492,0.0,2265893.101432492,2265893.101432492
2050,ror,5571.016495,0.0,4,0,0.0,39386359.81502452,0.0,0.0,0.0,0.0,0.0
2050,solar,25414.038546077332,0.0,11,0,0.0,85284721.89594254,0.0,852847.2189594253,0.0,852847.2189594253,852847.2189594253
