year,AIC,expected_OC,total_cost
2025,8689328004.435,3061720588.5661964,11751048593.001196
2030,3113842750.223606,2176321403.212542,5290164153.436148
2040,1066590313.2019114,3102507906.365456,4169098219.5673676
2050,553802160.7003127,3555396083.5475006,4109198244.247813
