year,potential_capacity,new_capacity,number_possible_buildouts,number_actual_buildouts,cost_of_buildout
2025,95000,12594.427164659133,19,3,211602884.24813703
2030,95000,2635.6589962745375,19,2,40420238.58681901
2040,95000,0.0,19,0,0.0
2050,95000,0.0,19,0,0.0
