year,branch,dual_value
2025,88,-3745988.2333074226
2030,88,-2293755.245876802
2040,88,-1155638.2640003243
2050,88,-27491.50449376499
2025,89,0.0
2030,89,-9.999999999934516
2040,89,-19.999999999934516
2050,89,0.0
2025,90,0.0
2030,90,0.0
2040,90,0.0
2050,90,0.0
2025,91,-498425.3683125088
2030,91,-274602.5264504205
2040,91,-105545.81110663012
2050,91,0.0
2025,92,-405.58723568916696
2030,92,0.0
2040,92,0.0
2050,92,0.0
2025,93,-1409064.229657414
2030,93,-869699.500605827
2040,93,-446114.07518166874
2050,93,-378.4791200079526
2025,95,-1478580.3995286094
2030,95,-895442.104928599
2040,95,-440567.90871217696
2050,95,-341.0829463929804
2025,96,0.0
2030,96,0.0
2040,96,0.0
2050,96,0.0
2025,97,0.0
2030,97,0.0
2040,97,0.0
2050,97,0.0
2025,99,-832990.2301401675
2030,99,-513256.0891745073
2040,99,-263037.5576255457
2050,99,0.0
2025,100,0.0
2030,100,0.0
2040,100,0.0
2050,100,0.0
2025,101,-1423546.958057269
2030,101,-888899.012916639
2040,101,-466560.61860134423
2050,101,0.0
2025,102,-45267.61329119462
2030,102,-45277.613291194575
2040,102,-40569.73685920528
2050,102,0.0
2025,103,-3436.6474962255256
2030,103,0.0
2040,103,0.0
2050,103,0.0
2025,104,-385629.6089559064
2030,104,-242957.5547579107
2040,104,-132858.01701313557
2050,104,-2268.286049209204
2025,105,0.0
2030,105,0.0
2040,105,0.0
2050,105,0.0
2025,106,-1646242.1494733426
2030,106,-985546.8567262609
2040,106,-475895.0632021164
2050,106,-9160.253394685798
2025,107,-1100092.6189186051
2030,107,-648227.5443716556
2040,107,-298508.288528738
2050,107,0.0
2025,219,-1107.627928537593
2030,219,0.0
2040,219,0.0
2050,219,0.0
