year,DE,GA,NT,Average
2025,,,26.075109971626947,26.075109971626947
2030,,,28.449779023014788,28.449779023014788
2040,38.79329979825937,33.78374760259021,37.71399139801751,36.763679599622364
2050,52.61302700461185,37.55333107820826,,45.083179041410055
