dual,total_duals,nonzero_duals,percent_nonzero
battery_charge_new_max_duals,51744,1081,2.08913110698825
battery_charge_old_duals,0,0,0.0
battery_discharge_new_max_duals,51744,657,1.269712430426716
battery_discharge_old_duals,0,0,0.0
branch_extension_duals,76,2,2.631578947368421
branch_flow_new_duals_max,89376,10639,11.903643036161833
branch_flow_new_duals_min,89376,34134,38.191460794844254
branch_flow_old_duals_max,89376,10594,11.85329394915861
branch_flow_old_duals_min,89376,34146,38.204887218045116
emissions_duals,7,0,0.0
gen_extension_duals,204,108,52.94117647058824
gen_output_new_duals,239904,159973,66.68208950246766
gen_output_old_duals,239904,124386,51.84823929571829
load_shedding_duals,51744,0,0.0
power_balance_duals,51744,51744,100.0
