,Built Generators,Potential Generators,Capacity,Potential Capacity,Utilization rate (%),Max utilization rate (%)
CCGT,5.0,32,5880.897101484995,552942.483,8.072069884145495,100.0
OCGT,4.0,20,4296.0,41209.904796440525,0.34206662412192684,100.0
biomass,2.0,15,1007.4401580842261,63866.075928,59.13973523267254,100.0
offwind-ac,1.0,28,77829.38318272748,1089413.1075810657,21.250426321618278,32.56490852819228
offwind-dc,1.0,23,0.8335035140833738,46265.60528738773,41.436947465544726,49.21031097359434
oil,2.0,14,4317.0,16789.681169607262,0.30043294326782366,100.0
onwind,2.0,37,21906.013179271024,553938.524119299,19.49551389743292,23.255904806512813
ror,2.0,29,724.2,148252.7727498418,39.28920658047795,39.28927804020046
solar,19.0,37,128688.68657033441,458909.2292612457,13.769754033062732,13.884292861125596
coal,,21,0.0,191604.49608350985,23.246419718094874,100.0
lignite,,13,0.0,136285.92825804654,63.47134523991163,100.0
nuclear,,15,0.0,330162.3,84.6715331787021,100.0
