year,potential_capacity,new_capacity,number_possible_buildouts,number_actual_buildouts,cost_of_buildout
2025,95000,7879.690704748274,19,2,132186904.51571402
2030,95000,0.0,19,0,0.0
2040,95000,0.0,19,0,0.0
2050,95000,0.0,19,0,0.0
