year,week,hour,battery,value
2025,21,0,ES1 0 bat,0.0
2025,21,1,ES1 0 bat,0.0
2025,21,2,ES1 0 bat,0.0
2025,21,3,ES1 0 bat,0.0
2025,21,4,ES1 0 bat,0.0
2025,21,5,ES1 0 bat,0.0
2025,21,6,ES1 0 bat,0.0
2025,21,7,ES1 0 bat,0.0
2025,21,8,ES1 0 bat,0.0
2025,21,9,ES1 0 bat,0.0
2025,21,10,ES1 0 bat,0.0
2025,21,11,ES1 0 bat,0.0
2025,21,12,ES1 0 bat,0.0
2025,21,13,ES1 0 bat,0.0
2025,21,14,ES1 0 bat,0.0
2025,21,15,ES1 0 bat,0.0
2025,21,16,ES1 0 bat,0.0
2025,21,17,ES1 0 bat,0.0
2025,21,18,ES1 0 bat,0.0
2025,21,19,ES1 0 bat,0.0
2025,21,20,ES1 0 bat,0.0
2025,21,21,ES1 0 bat,0.0
2025,21,22,ES1 0 bat,0.0
2025,21,23,ES1 0 bat,0.0
2025,21,24,ES1 0 bat,0.0
2025,21,25,ES1 0 bat,0.0
2025,21,26,ES1 0 bat,0.0
2025,21,27,ES1 0 bat,0.0
2025,21,28,ES1 0 bat,0.0
2025,21,29,ES1 0 bat,0.0
2025,21,30,ES1 0 bat,0.0
2025,21,31,ES1 0 bat,0.0
2025,21,32,ES1 0 bat,0.0
2025,21,33,ES1 0 bat,0.0
2025,21,34,ES1 0 bat,0.0
2025,21,35,ES1 0 bat,0.0
2025,21,36,ES1 0 bat,0.0
2025,21,37,ES1 0 bat,0.0
2025,21,38,ES1 0 bat,0.0
2025,21,39,ES1 0 bat,0.0
2025,21,40,ES1 0 bat,0.0
2025,21,41,ES1 0 bat,0.0
2025,21,42,ES1 0 bat,0.0
2025,21,43,ES1 0 bat,0.0
2025,21,44,ES1 0 bat,0.0
2025,21,45,ES1 0 bat,0.0
2025,21,46,ES1 0 bat,0.0
2025,21,47,ES1 0 bat,0.0
2025,21,48,ES1 0 bat,0.0
2025,21,49,ES1 0 bat,0.0
2025,21,50,ES1 0 bat,0.0
2025,21,51,ES1 0 bat,0.0
2025,21,52,ES1 0 bat,0.0
2025,21,53,ES1 0 bat,0.0
2025,21,54,ES1 0 bat,0.0
2025,21,55,ES1 0 bat,0.0
2025,21,56,ES1 0 bat,0.0
2025,21,57,ES1 0 bat,0.0
2025,21,58,ES1 0 bat,0.0
2025,21,59,ES1 0 bat,0.0
2025,21,60,ES1 0 bat,0.0
2025,21,61,ES1 0 bat,0.0
