,lower_bound,upper_bound,count,percent_of_high,percent_of_total
0,62.171,112.956,818,92.42937853107345,0.7904298082869512
99,5089.794,5140.578,19,2.1468926553672314,0.01835961657390229
98,5039.01,5089.794,12,1.3559322033898304,0.011595547309833025
1,112.956,163.741,12,1.3559322033898304,0.011595547309833025
97,4988.226,5039.01,8,0.903954802259887,0.007730364873222016
13,722.365,773.149,8,0.903954802259887,0.007730364873222016
96,4937.441,4988.226,4,0.4519774011299435,0.003865182436611008
12,671.581,722.365,3,0.3389830508474576,0.0028988868274582563
95,4886.657,4937.441,1,0.11299435028248588,0.000966295609152752
2,163.741,214.525,0,0.0,0.0
