year,DE,GA,NT,Average
2025,,,50.94896794213896,50.94896794213896
2030,,,44.0874182834087,44.0874182834087
2040,47.69943113286584,43.424416535555046,46.33003853687175,45.81796206843088
2050,64.76728309588921,44.07719237905566,,54.422237737472436
