dual,total_duals,nonzero_duals,percent_nonzero
battery_charge_new_max_duals,103488,2711,2.6196273964131107
battery_charge_old_duals,0,0,0.0
battery_discharge_new_max_duals,103488,672,0.6493506493506493
battery_discharge_old_duals,0,0,0.0
branch_extension_duals,76,2,2.631578947368421
branch_flow_new_duals_max,178752,25418,14.219701038310061
branch_flow_new_duals_min,178752,62055,34.715695488721806
branch_flow_old_duals_max,178752,25366,14.1906104547082
branch_flow_old_duals_min,178752,62075,34.72688417472252
emissions_duals,7,0,0.0
gen_extension_duals,204,100,49.01960784313725
gen_output_new_duals,479808,348071,72.5438091903428
gen_output_old_duals,479808,352889,73.54796085100706
load_shedding_duals,103488,0,0.0
power_balance_duals,103488,103488,100.0
