lower_bound,upper_bound,count,percent_of_interval
53.999,54.1,0,0.0
54.1,54.2,30,3.389830508474576
54.2,54.3,61,6.892655367231638
54.3,54.4,113,12.768361581920903
54.4,54.5,9,1.0169491525423728
54.5,54.6,17,1.92090395480226
54.6,54.7,89,10.056497175141244
54.7,54.8,197,22.259887005649716
54.8,54.9,71,8.022598870056497
54.9,55.0,298,33.67231638418079
