scenario,year,dual_value
NT,2025,-31392.06045014852
NT,2030,-31391.923231805842
NT,2040,-10384.964500224114
GA,2040,-10390.656457877887
DE,2040,-10384.964500224114
GA,2050,0.0
DE,2050,-1908.0033315427884
