year,New Capacity (MWh),Battery Investment (B€)
2025,270.83196299054276,0.0029735893733583525
2030,490.7023164869886,0.005387647667860343
2040,6989.524286457428,0.07674121958701637
2050,26771.817564780184,0.2939401662088854
