Label,Objective Value,Optimality Gap (%),Runtime (s),Build Time (s),Optimize Time (s),Total Time (s),Number of Variables,Number of Constraints,Number of Nonzeros,Number of Integer Variables,Number of Binary Variables,Number of Quadratic Constraints,Model Status
SP,30764643287.175087,,386.2034299373626,161.56160187721252,387.0390088558197,548.6006107330322,1895688,1440348,3869565,0,0,0,2
EV,30467874889.71157,,140.26660203933716,83.43947887420654,140.66178631782532,224.10126519203183,632328,823312,2150346,0,0,0,2
EEV,31412630535.2386,,10.087424993515016,160.4175226688385,10.973047971725464,171.39057064056396,1895688,1440348,3869565,0,0,0,2
EVPI,30550195801.47043,,154.02433109283447,99.72564884026845,154.61241026719412,254.33805910746256,1474568.0,823317.3333333334,2265034.0,0.0,0.0,0.0,2.0
EVPI std,1443744708.3085015,,14.956171569341114,6.262456299695004,14.930452575227621,14.973940512902914,326198.1493509735,2.065591117977289,44418.471400983624,0.0,0.0,0.0,0.0
