carrier,Total Production [MW],New Production [MW],Old Production [MW],Total Production Cost [€],Cost of Buildout [€],Marginal Cost [€/MWh],CO2 Emission Intensity [ton/MWh],Total Production Cost [€] old,Total CO2 Emissions [ton],Total CO2 Cost [€],Total Production Cost With Emissions [€],Total Cost €
CCGT,46735970.30904975,0.0,46735970.30904975,1816287771.4199328,0.0,40.52039741089527,0.2,1893760090.3064976,9347194.06180995,794511495.2538457,2610799266.6737785,2610799266.6737785
coal,1453952.6015084423,0.0,1453952.6015084423,40997057.445563816,0.0,28.196969696969695,0.34,40997057.4455638,494343.8845128704,42019230.18359398,83016287.6291578,83016287.6291578
offwind-ac,87820991.85609409,73980358.52022713,13840633.335866965,1317314.8778414114,0.0,0.015000000000000001,0.0,1317314.8778414114,0.0,0.0,1317314.8778414114,1317314.8778414114
onwind,20884805.30655446,660148.2566658055,20224657.04988865,313272.0795983164,0.0,0.01499999999999999,0.0,313272.0795983167,0.0,0.0,313272.0795983164,313272.0795983164
solar,91557280.74341193,81298915.2766766,10258365.466735333,915572.8074341193,0.0,0.01,0.0,915572.8074341193,0.0,0.0,915572.8074341193,915572.8074341193
ror,85684914.04858959,82799510.04842219,2885404.000167397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total,334137914.86520827,238738932.10199174,95398982.76321654,1859830988.6303706,0.0,68.75736710786497,0.54,1937303307.5169353,9841537.94632282,836530725.4374397,2696361714.0678105,2696361714.0678105
