year,scenario,CCGT,coal,offwind-ac,onwind,ror,solar,Total
2025,NT,102422026.25571063,5620471.040378569,41710192.90107531,81139880.41818804,17651844.72759573,33986974.422577634,282531389.7655259
2030,NT,76708422.78901291,2567213.050515658,50979865.43560573,98477997.07659891,24908487.909712635,48527041.24224364,302169027.50368947
2040,DE,34812354.22430679,2421834.933898879,20299258.421628226,38994240.45886122,8302829.303237544,21032318.104567453,125862835.44650011
2040,GA,25822551.07586494,1189739.3654202637,19108761.52927158,36531060.44071657,8302829.303237544,20983417.97544619,111938359.6899571
2040,NT,32841509.65985601,2127004.281974542,20054856.506944504,38534147.40419535,8302829.303237544,21026019.851730213,122886367.00793816
2050,DE,56405365.55614425,4521703.760129752,31086222.856998898,60494862.55440648,12454243.954856317,38811088.22624286,203773486.90877855
2050,GA,41144322.672618076,2445620.3900983464,29428114.423007898,56559874.09545874,12454243.954856317,38682347.554666564,180714523.09070593
