scenario,year,dual_value
NT,2025,-30950.204010553247
NT,2030,-508.8957848276615
NT,2040,-25.206046510805965
GA,2040,-2.7752042614951056
DE,2040,-6047.6705250846335
GA,2050,-7.602234043993258
DE,2050,-15234.684355052446
