year,potential_capacity,new_capacity,number_possible_buildouts,number_actual_buildouts,cost_of_buildout
2025,95000,8514.25326090382,19,2,146847179.50886935
2030,95000,181.61972349560529,19,1,2383123.852245691
2040,95000,0.0,19,0,0.0
2050,95000,0.0,19,0,0.0
