year,num_buildout,capacity,cumulative_capacity,investment_cost,cycles_per_year
2025,3,36720.62340793057,36720.62340793057,806345413.1721464,68.21204048766037
2030,0,0.0,36720.62340793057,0.0,69.0696750392342
2040,0,0.0,36720.62340793057,0.0,101.01753987213509
2050,0,0.0,36720.62340793057,0.0,128.58519379016727
