year,AIC,expected_OC,total_cost
2025,3930351755.2462845,5457521350.294877,9387873105.54116
2030,3088336914.2497935,4500847320.458511,7589184234.708305
2040,1338225760.867439,5731304765.6796055,7069530526.547045
2050,636342017.8569283,6081713402.522341,6718055420.379269
