year,carrier,potential_capacity,new_capacity,number_possible_buildouts,number_actual_buildouts,cost_of_buildout,total_production,total_co2_emissions,total_production_cost,total_co2_emission_cost,total_production_cost_with_emission,total_cost
2025,CCGT,15225.166000000001,5051.913997073347,11,6,500279571.7144671,92480746.55795863,18496149.31159173,3596542643.4410133,1479691944.9273381,5076234588.368351,5576514160.082818
2025,coal,2369.6967413669563,0.0,5,0,0.0,6842806.475417731,2326554.201642029,192946406.8295818,186124336.13136232,379070742.9609441,379070742.9609441
2025,offwind-ac,6867.326110916833,5764.530153614616,9,7,1064027728.3010166,41280045.097664356,0.0,619200.6764649653,0.0,619200.6764649653,1064646928.9774815
2025,onwind,16019.751672361648,16019.75167236165,11,11,1539272065.2982094,89256469.79247405,0.0,1338847.0468871093,0.0,1338847.0468871093,1540610912.3450966
2025,ror,1392.75412375,1392.75412375,4,4,416628781.84968704,19154103.058242563,0.0,0.0,0.0,0.0,416628781.84968704
2025,solar,6353.509636519333,6353.509636519333,11,11,226198102.72755942,25797124.222951442,0.0,257971.2422295144,0.0,257971.2422295144,226456073.96978894
2030,CCGT,15225.166000000001,4058.8,11,4,401933747.6550472,79072137.22687776,15814427.445375554,3074299857.6990995,1265154195.6300445,4339454053.3291445,4741387800.984192
2030,coal,2369.6967413669563,0.0,5,0,0.0,2865974.7040774943,974431.3993863481,80811801.8831548,77954511.95090786,158766313.83406264,158766313.83406264
2030,offwind-ac,6867.326110916833,3510.3416068798733,9,5,648079763.8260847,47500713.69428178,0.0,712510.7054142267,0.0,712510.7054142267,648792274.5314989
2030,onwind,16019.751672361648,14011.59818739802,11,10,1346316854.415089,104698728.90559638,0.0,1570480.9335839439,0.0,1570480.9335839439,1347887335.3486729
2030,ror,1392.75412375,1392.75412375,4,4,416628781.84968704,25538804.07765675,0.0,0.0,0.0,0.0,416628781.84968704
2030,solar,6353.509636519333,6353.509636519333,11,11,226198102.72755942,34396165.63060192,0.0,343961.6563060192,0.0,343961.6563060192,226542064.38386545
2040,CCGT,15225.166000000001,1525.0,11,2,151017287.17205748,99279631.17482021,19855926.234964043,3864240480.7855844,1588474098.7971234,5452714579.582707,5603731866.754765
2040,coal,2369.6967413669563,0.0,5,0,0.0,4707685.742685973,1600613.1525132307,132742472.22937264,128049052.20105845,260791524.43043107,260791524.43043107
2040,offwind-ac,6867.326110916833,1437.5516901118294,9,2,264132684.90295124,53323716.166579455,0.0,799855.7424986919,0.0,799855.7424986919,264932540.64544994
2040,onwind,16019.751672361648,7180.09924956989,11,5,689906212.4664166,125005049.64828241,0.0,1875075.744724234,0.0,1875075.744724234,691781288.2111409
2040,ror,1392.75412375,0.0,4,0,0.0,25538804.077656746,0.0,0.0,0.0,0.0,0.0
2040,solar,6353.509636519333,6353.509636519333,11,11,226198102.72755942,42995207.0382524,0.0,429952.070382524,0.0,429952.070382524,226628054.79794195
2050,CCGT,15225.166000000001,0.0,11,0,0.0,105133983.92176822,21026796.784353644,4094877710.236257,1682143742.7482915,5777021452.984549,5777021452.984549
2050,coal,2369.6967413669563,0.0,5,0,0.0,5440407.172016983,1849738.4384857742,153402996.16853946,147979075.07886195,301382071.2474014,301382071.2474014
2050,offwind-ac,6867.326110916833,0.0,9,0,0.0,54234120.19050968,0.0,813511.8028576451,0.0,813511.8028576451,813511.8028576451
2050,onwind,16019.751672361648,1916.508597904429,11,1,184149430.5275476,132028266.87161961,0.0,1980424.0030742914,0.0,1980424.0030742914,186129854.5306219
2050,ror,1392.75412375,0.0,4,0,0.0,25538804.07765675,0.0,0.0,0.0,0.0,0.0
2050,solar,6353.509636519333,6353.509636519333,11,11,226198102.72755942,51594248.445902884,0.0,515942.4844590288,0.0,515942.4844590288,226714045.21201846
