year,potential_capacity,new_capacity,number_possible_buildouts,number_actual_buildouts,cost_of_buildout
2025,95000,69782.92777957348,19,17,1265434707.3080575
2030,95000,57671.81122249093,19,13,1071164791.1055981
2040,95000,47937.53931261602,19,10,894396099.9094718
2050,95000,18487.317418849332,19,6,353394836.75211346
