scenario,year,dual_value
NT,2025,-31243.334943285638
NT,2030,-3393.1663541251546
NT,2040,-0.31482022930170217
GA,2040,-1812.9295926719094
DE,2040,0.0
GA,2050,-1864.1271283280007
DE,2050,-4.208061831310374
