dual,total_duals,nonzero_duals,percent_nonzero
battery_charge_new_max_duals,51744,467,0.9025200989486704
battery_charge_old_duals,0,0,0.0
battery_discharge_new_max_duals,51744,526,1.0165429808286952
battery_discharge_old_duals,0,0,0.0
branch_extension_duals,76,2,2.631578947368421
branch_flow_new_duals_max,89376,12598,14.09550662370211
branch_flow_new_duals_min,89376,32891,36.800707124955245
branch_flow_old_duals_max,89376,12583,14.078723594701037
branch_flow_old_duals_min,89376,32879,36.78728070175439
emissions_duals,7,0,0.0
gen_extension_duals,204,103,50.49019607843137
gen_output_new_duals,239904,167690,69.89879285047353
gen_output_old_duals,239904,167686,69.89712551687342
load_shedding_duals,51744,0,0.0
power_balance_duals,51744,51744,100.0
