year,DE,GA,NT,Average
2025,,,42.46200737543729,42.46200737543729
2030,,,38.74112196486691,38.74112196486691
2040,50.74863427778773,36.785783311063916,40.88588071795029,42.80676610226732
2050,56.58724749302282,37.44205056100303,,47.01464902701292
