year,AIC,expected_OC,total_cost
2025,9437105162.472776,2159057405.6616044,11596162568.13438
2030,3260102571.063779,1539060448.566361,4799163019.63014
2040,1258808906.1506116,2189095223.7060094,3447904129.856621
2050,529082679.1558793,2532163008.6703005,3061245687.82618
