year,AIC,expected_OC,total_cost
2025,3573302808.732249,1851801894.9516277,5425104703.683876
2030,2317759904.928995,2311377611.284128,4629137516.213123
2040,2374416540.14925,4091128441.3128667,6465544981.462116
2050,2458138060.8640466,4989351714.6087,7447489775.472746
