,Built Generators,Potential Generators,Capacity,Potential Capacity,Utilization rate (%),Max utilization rate (%)
CCGT,2.0,2,4861.958992809437,6090.0664,44.516213558498144,100.0
solar,2.0,2,2541.403854607733,2541.4038546077336,17.099243798741792,17.32762614193999
coal,,1,0.0,947.8786965467825,92.77991444981988,100.0
offwind-ac,,2,0.0,2746.9304443667334,25.962948238430748,26.58076663724985
onwind,,2,0.0,6407.90066894466,18.43462340716492,18.492475718788654
ror,,2,0.0,557.1016495,30.596209153980457,30.59738127911547
