year,branch,value
2025,88,5000.0
2030,88,5000.0
2040,88,5000.0
2050,88,5000.0
2025,89,3965.4238444737093
2030,89,5000.0
2040,89,5000.0
2050,89,1578.6029729490165
2025,90,4211.970811616009
2030,90,0.0
2040,90,0.0
2050,90,0.0
2025,91,5000.0
2030,91,4449.49655900592
2040,91,0.0
2050,91,0.0
2025,92,272.0573293721303
2030,92,0.0
2040,92,0.0
2050,92,0.0
2025,93,5000.0
2030,93,5000.0
2040,93,5000.0
2050,93,563.3511127985221
2025,95,5000.0
2030,95,5000.0
2040,95,5000.0
2050,95,0.0
2025,96,0.0
2030,96,0.0
2040,96,0.0
2050,96,0.0
2025,97,0.0
2030,97,0.0
2040,97,0.0
2050,97,0.0
2025,99,5000.0
2030,99,5000.0
2040,99,5000.0
2050,99,4716.2312678270355
2025,100,999.8500912820018
2030,100,0.0
2040,100,0.0
2050,100,0.0
2025,101,5000.0
2030,101,5000.0
2040,101,5000.0
2050,101,0.0
2025,102,5000.0
2030,102,5000.0
2040,102,2216.8147376322286
2050,102,0.0
2025,103,5000.0
2030,103,2058.5260555190653
2040,103,0.0
2050,103,0.0
2025,104,5000.0
2030,104,5000.0
2040,104,5000.0
2050,104,4851.317126900016
2025,105,0.0
2030,105,0.0
2040,105,0.0
2050,105,0.0
2025,106,5000.0
2030,106,5000.0
2040,106,5000.0
2050,106,1131.6805305618818
2025,107,5000.0
2030,107,5000.0
2040,107,5000.0
2050,107,0.0
2025,219,4785.703488213567
2030,219,0.0
2040,219,0.0
2050,219,0.0
